,scipy_distributions
0,alpha
1,anglit
2,arcsine
3,argus
4,beta
5,betaprime
6,bradford
7,burr
8,burr12
9,cauchy
10,chi
11,chi2
12,cosine
13,crystalball
14,dgamma
15,dweibull
16,erlang
17,expon
18,exponnorm
19,exponweib
20,exponpow
21,f
22,fatiguelife
23,fisk
24,foldcauchy
25,foldnorm
26,genlogistic
27,gennorm
28,genpareto
29,genexpon
30,genextreme
31,gausshyper
32,gamma
33,gengamma
34,genhalflogistic
35,genhyperbolic
36,geninvgauss
37,gibrat
38,gilbrat
39,gompertz
40,gumbel_r
41,gumbel_l
42,halfcauchy
43,halflogistic
44,halfnorm
45,halfgennorm
46,hypsecant
47,invgamma
48,invgauss
49,invweibull
50,johnsonsb
51,johnsonsu
52,kappa4
53,kappa3
54,ksone
55,kstwo
56,kstwobign
57,laplace
58,laplace_asymmetric
59,levy
60,levy_l
61,levy_stable
62,logistic
63,loggamma
64,loglaplace
65,lognorm
66,loguniform
67,lomax
68,maxwell
69,mielke
70,moyal
71,nakagami
72,ncx2
73,ncf
74,nct
75,norm
76,norminvgauss
77,pareto
78,pearson3
79,powerlaw
80,powerlognorm
81,powernorm
82,rdist
83,rayleigh
84,rice
85,recipinvgauss
86,semicircular
87,skewcauchy
88,skewnorm
89,studentized_range
90,t
91,trapezoid
92,triang
93,truncexpon
94,truncnorm
95,truncpareto
96,truncweibull_min
97,tukeylambda
98,uniform
99,vonmises
100,vonmises_line
101,wald
102,weibull_min
103,weibull_max
104,wrapcauchy
